@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute class {class_0,class_1}

@data
276,11,0,0,1,4,6,0.67,1,0,2,class_0
277,7,0,0,1,3,3,1,1,0,2,class_0
278,13,0,0,1,3,7,0.43,2,1,3,class_0
279,11,0,0,1,5,4,1.25,2,0,3,class_0
280,13,0,0,1,4,8,0.5,1,0,2,class_0
281,17,0,0,1,7,7,1,2,1,3,class_0
282,13,0,0,1,5,7,0.71,1,0,2,class_0
283,15,0,0,1,5,9,0.56,1,0,2,class_0
284,13,0,0,1,5,7,0.71,1,0,2,class_0
285,14,1,0,1,4,9,0.44,1,0,2,class_0
286,14,1,0,1,4,9,0.44,1,0,2,class_0
288,11,0,0,1,5,5,1,1,0,2,class_0
289,14,1,0,1,5,8,0.62,1,0,2,class_0
290,11,0,0,1,4,6,0.67,1,0,2,class_0
291,11,0,0,1,4,6,0.67,1,0,2,class_0
292,12,1,0,1,4,7,0.57,1,0,2,class_0
293,15,0,0,1,7,7,1,1,0,2,class_0
2,20,1,1,0,6,11,0.55,2,1,3,class_1
3,12,1,1,0,4,7,0.57,1,0,2,class_1
4,11,0,1,0,6,4,1.5,1,0,2,class_1
5,15,0,1,0,5,7,0.71,2,1,3,class_1
6,12,1,1,0,2,7,0.29,2,1,3,class_1
7,13,0,1,0,5,7,0.71,1,0,2,class_1
8,13,0,1,0,4,8,0.5,1,0,2,class_1
9,18,1,1,0,8,9,0.89,1,0,2,class_1
10,16,1,1,0,8,7,1.14,1,0,2,class_1
11,16,1,1,0,6,9,0.67,1,0,2,class_1
12,11,0,1,0,4,6,0.67,1,0,2,class_1
13,16,1,1,0,8,7,1.14,1,0,2,class_1
15,10,1,1,0,3,6,0.5,1,0,2,class_1
19,16,1,0,0,5,10,0.5,1,0,2,class_1
23,20,1,0,0,5,12,0.42,2,1,3,class_1
24,17,0,0,0,5,9,0.56,2,1,3,class_1
25,12,1,0,0,4,7,0.57,1,0,2,class_1
26,18,1,0,0,6,9,0.67,2,1,3,class_1
29,15,0,0,0,3,9,0.33,2,1,3,class_1
30,12,1,0,0,2,7,0.29,2,1,3,class_1
31,14,1,0,0,5,8,0.62,1,0,2,class_1
32,12,1,0,0,3,8,0.38,1,0,2,class_1
33,14,1,0,0,3,10,0.3,1,0,2,class_1
34,12,1,0,0,3,8,0.38,1,0,2,class_1
35,13,0,0,0,6,6,1,1,0,2,class_1
36,19,0,0,0,6,11,0.55,2,0,3,class_1
37,13,0,0,0,5,7,0.71,1,0,2,class_1
38,19,0,0,0,8,10,0.8,1,0,2,class_1
39,14,1,0,0,4,9,0.44,1,0,2,class_1
40,20,1,0,0,6,13,0.46,1,0,2,class_1
41,17,0,0,0,7,9,0.78,1,0,2,class_1
66,12,1,0,0,4,7,0.57,1,0,2,class_1
69,11,0,1,0,4,6,0.67,1,0,2,class_1
70,12,1,1,0,4,7,0.57,1,0,2,class_1
71,11,0,1,0,4,6,0.67,1,0,2,class_1
72,13,0,1,0,5,7,0.71,1,0,2,class_1
73,13,0,1,0,5,7,0.71,1,0,2,class_1
74,9,0,1,0,4,4,1,1,0,2,class_1
75,16,1,1,0,6,9,0.67,1,0,2,class_1
79,13,0,0,0,3,9,0.33,1,0,2,class_1
87,17,0,0,0,5,11,0.45,1,0,2,class_1
88,19,0,0,0,8,10,0.8,1,0,2,class_1
97,20,1,1,0,8,11,0.73,1,0,2,class_1
98,18,1,0,0,5,10,0.5,2,1,3,class_1
99,13,0,0,0,3,6,0.5,2,2,3,class_1
129,13,0,0,0,4,8,0.5,1,0,2,class_1
138,15,0,0,0,4,8,0.5,2,1,3,class_1
139,25,0,0,0,8,16,0.5,1,0,2,class_1
140,17,0,0,0,3,11,0.27,2,1,3,class_1
152,13,0,0,0,3,7,0.43,2,1,3,class_1
186,15,0,0,0,5,9,0.56,1,0,2,class_1
197,10,1,1,0,4,5,0.8,1,0,2,class_1
198,14,1,1,0,6,6,1,2,0,3,class_1
209,9,0,0,0,2,6,0.33,1,0,2,class_1
210,11,0,0,0,3,7,0.43,1,0,2,class_1
211,16,1,0,0,6,9,0.67,1,0,2,class_1
212,19,0,0,0,6,12,0.5,1,0,2,class_1
213,18,1,0,0,4,11,0.36,2,1,3,class_1
214,13,0,0,0,4,6,0.67,2,1,3,class_1
237,16,1,0,0,5,8,0.62,2,1,3,class_1
241,14,1,0,0,5,8,0.62,1,0,2,class_1
242,16,1,0,0,5,10,0.5,1,0,2,class_1
243,12,1,0,0,4,7,0.57,1,0,2,class_1
245,18,1,0,0,5,10,0.5,2,1,3,class_1
246,17,0,0,0,6,10,0.6,1,0,2,class_1
247,11,0,0,0,3,7,0.43,1,0,2,class_1
248,13,0,0,0,4,8,0.5,1,0,2,class_1
249,13,0,0,0,4,8,0.5,1,0,2,class_1
250,12,1,0,0,3,8,0.38,1,0,2,class_1
251,17,0,0,0,5,11,0.45,1,0,2,class_1
252,14,1,0,0,5,6,0.83,2,1,3,class_1
253,13,0,0,0,4,8,0.5,1,0,2,class_1
254,15,0,0,0,4,10,0.4,1,0,2,class_1
255,16,1,0,0,4,9,0.44,2,1,3,class_1
256,14,1,0,0,4,9,0.44,1,0,2,class_1
262,18,1,0,0,6,9,0.67,2,1,3,class_1
263,13,0,0,0,4,8,0.5,1,0,2,class_1
264,20,1,0,0,6,11,0.55,2,1,3,class_1
265,19,0,0,0,4,12,0.33,2,1,3,class_1
266,15,0,0,0,5,9,0.56,1,0,2,class_1
267,15,0,0,0,5,9,0.56,1,0,2,class_1
274,12,1,1,0,5,6,0.83,1,0,2,class_1
287,12,1,0,0,4,7,0.57,1,0,2,class_1
294,13,0,0,0,4,8,0.5,1,0,2,class_1
