@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute class {class_0,class_1}

@data
32,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class_1
33,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,class_1
36,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,class_1
37,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class_1
38,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,class_1
39,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class_1
40,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,class_1
41,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,class_1
42,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_1
45,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class_1
50,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class_1
51,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,class_1
52,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,class_1
55,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,class_1
56,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class_1
57,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,class_1
58,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_1
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,class_1
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class_1
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,class_1
70,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,class_1
71,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,class_1
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,class_1
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,class_1
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,class_1
77,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class_1
78,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class_1
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,class_1
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,class_1
81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,class_1
82,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_1
84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,class_1
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,class_1
86,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,class_1
87,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,class_1
88,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,class_1
89,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,class_1
90,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,class_1
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,class_1
94,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,class_1
96,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,class_1
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,class_1
99,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_1
